file	readS
Pun10	8472938
Pun11	11908118
Pun12	13823617
Pun13	8606760
Pun14	4987380
Pun15	4479155
Pun16	10759661
Pun17	15902282
Pun18	14567126
Pun19	10941666
Pun1	14770290
Pun20	11293011
Pun21	10645562
Pun22	10771410
Pun23	10479350
Pun24	7806834
Pun25	12537454
Pun26	14657517
Pun27	17657391
Pun28	15852708
Pun29	14850756
Pun2	5989271
Pun30	10559802
Pun3	14089902
Pun4	8764304
Pun5	8240140
Pun6	9858836
Pun7	8038306
Pun8	4394884
Pun9	21492519
Tym10	13799181
Tym11	20444161
Tym12	20589559
Tym13	10349992
Tym14	10660911
Tym15	16403825
Tym16	7896649
Tym17	14386073
Tym18	17839962
Tym19	13934030
Tym1	16070504
Tym20	14093522
Tym21	11619201
Tym22	11487270
Tym23	10105927
Tym24	9042863
Tym25	20212309
Tym26	14574278
Tym2	13798140
Tym3	13144317
Tym4	8550420
Tym5	9578129
Tym6	5718387
Tym7	11517025
Tym8	7413921
Tym9	16828103
Sin10	18793876
Sin11	13729828
Sin12	15131302
Sin13	12122370
Sin14	8789149
Sin15	8856056
Sin16	8123802
Sin17	25660677
Sin18	26872893
Sin19	20171002
Sin1	10423654
Sin20	23954522
Sin21	22886416
Sin22	21361491
Sin2	11310292
Sin3	14911662
Sin4	14213884
Sin5	8181503
Sin6	14069623
Sin7	9697035
Sin8	4570740
Sin9	16312613
