	CHROM	BIN_START	BIN_END	N_VARIANTS	PI_all	PI_female	PI_male	MEAN_FST	SNP_COUNT_all	SNP_COUNT_female	SNP_COUNT_male	Dxy	pFemaleSpecific	pMaleSpecific	pSexSpecific	meanDiffA1	female_r2	male_r2
0	chrI	1	100000	146	0.00044635199999999996	0.00040786	0.000536067	-0.0193326	146	133	126	0.0005267373137222219	0.0	0.0	0.0	0.12404099791666666	0.1166473025541961	0.11083078375824808
1	chrI	100001	200000	60	0.000175842	0.000158602	0.000194017	0.06886089999999999	60	50	47	0.00025575673902778005	0.05	0.1	0.13333333333333333	0.20258925	0.3560375554455449	0.3715401090680552
2	chrI	200001	300000	63	0.00014022	0.00011128700000000001	0.00020423700000000002	-0.047017199999999995	63	49	52	0.0002337944536746	0.031746031746031744	0.0	0.031746031746031744	0.12235447619047615	0.16007357169488753	0.09031777342179016
3	chrI	300001	400000	58	0.000228134	0.00022134799999999998	0.000247114	0.00111131	58	55	53	0.00024392618729999994	0.0	0.0	0.0	0.13324097758620693	0.13663897349803658	0.15773328772858908
4	chrI	400001	500000	48	0.000136081	0.000133852	0.000144463	-0.011143700000000001	48	44	42	0.00019337559688096	0.020833333333333332	0.0	0.020833333333333332	0.13544145833333335	0.130745119553187	0.15377549890977732
5	chrI	500001	600000	16	3.0679099999999996e-05	2.5002e-05	4.2001499999999994e-05	0.00499768	16	10	13	5.3074605777779996e-05	0.0	0.0	0.0	0.15528274999999997	0.19194039763754536	0.15645368170543558
6	chrI	600001	700000	71	0.000253009	0.000245276	0.000274017	-0.00326381	71	63	65	0.00028732738959523995	0.0	0.0	0.0	0.13048291830985917	0.15110010608921393	0.16577600331875847
7	chrI	700001	800000	26	7.185069999999999e-05	6.550479999999999e-05	8.378e-05	0.00796212	26	22	18	9.502977e-05	0.0	0.0	0.0	0.15098442307692309	0.17032020894429103	0.17317598172498402
8	chrI	800001	900000	43	0.00011127399999999999	0.00010993	0.000116231	0.0182165	43	34	31	0.00015165774269048	0.0	0.0	0.0	0.17068106976744188	0.22745317660529224	0.20757498723082163
9	chrI	900001	1000000	154	0.00047982300000000004	0.000464153	0.0005254	-0.00498674	154	141	120	0.0005817402544269841	0.032467532467532464	0.0	0.032467532467532464	0.12806892922077923	0.1356738168397992	0.10363971667150151
10	chrI	1000001	1100000	219	0.000571143	0.00069987	0.000250479	0.125391	219	212	71	0.0007719399169999995	0.1689497716894977	0.0045662100456621	0.1735159817351598	0.2660089315068493	0.5100124351617185	0.26971105136069157
11	chrI	1100001	1200000	50	0.000143926	0.000124433	0.00018001400000000001	-0.00226006	50	43	46	0.00019571824872221998	0.0	0.0	0.0	0.15151188000000002	0.16973399265002131	0.18472226680437775
12	chrI	1200001	1300000	5	1.26156e-05	1.10835e-05	1.62225e-05	-0.027651	5	5	5	1.9619050000000003e-05	0.0	0.0	0.0	0.12880940000000002	0.11991075000607779	0.0848397527741867
13	chrI	1300001	1400000	27	6.97591e-05	7.075520000000001e-05	6.84477e-05	0.00308177	27	24	17	9.827183607936002e-05	0.037037037037037035	0.0	0.037037037037037035	0.16380072962962963	0.15335932158889726	0.13530843563953965
14	chrI	1400001	1500000	102	0.000375326	0.000382539	0.00038513400000000003	-0.0294283	102	100	81	0.0003990760042222202	0.0	0.0	0.0	0.09911883333333335	0.09039740451945182	0.09559974480619515
15	chrI	1500001	1600000	35	9.78207e-05	8.65053e-05	0.00011578100000000001	0.00496547	35	26	27	0.000122027086	0.0	0.02857142857142857	0.02857142857142857	0.1613095142857143	0.2047178293317904	0.18710856477419038
16	chrI	1600001	1700000	14	2.5324699999999998e-05	2.27513e-05	3.11129e-05	-0.0456342	14	9	13	4.6003975555560006e-05	0.0	0.0	0.0	0.12772099999999997	0.15316581017394768	0.12482770898880459
17	chrI	1700001	1800000	100	0.00032182799999999997	0.000297799	0.000373132	-0.00505306	100	83	83	0.000374284141377778	0.0	0.0	0.0	0.137803581	0.1342045400153649	0.1632818047974568
18	chrI	1800001	1900000	31	9.97291e-05	0.000108089	9.24508e-05	-0.0344081	31	28	29	0.00012260118066666	0.0	0.0	0.0	0.11672424838709682	0.07886224326844213	0.12821111969044882
19	chrI	1900001	2000000	51	0.000132663	0.00011568200000000001	0.000166459	0.00347815	51	40	46	0.00017796329387302008	0.0	0.0196078431372549	0.0196078431372549	0.13162933333333332	0.11803240895891316	0.13419682106942102
20	chrI	2000001	2100000	19	4.76025e-05	4.98364e-05	4.37787e-05	0.023692400000000002	19	18	10	6.600435677778e-05	0.0	0.0	0.0	0.1610901052631579	0.17814268747496165	0.22608359137330772
21	chrI	2100001	2200000	3	5.353919999999999e-06	5.08341e-06	6.44452e-06	-0.150585	3	2	3	9.083335e-06	0.0	0.0	0.0	0.036111333333333336	0.009085751117261603	0.009665027160990478
