chr	lefts	rights	fd
chrIII	22302	122302	0.0340466931407012
chrIII	122302	222302	0.00989803409993411
chrIII	222302	322302	0.0364072044781645
chrIII	322302	422302	-0.0216403125638173
chrIII	422302	522302	-0.0808722356641591
chrIII	522302	622302	0.00157074130722477
chrIII	622302	722302	-0.0141935070018494
chrIII	722302	822302	-0.0332801284583647
chrIII	822302	922302	-0.0375935961607857
chrIII	922302	1022302	-0.0148781509267584
chrIII	1022302	1122302	0.00520639668070449
chrIII	1122302	1222302	0.0268878786874103
chrIII	1222302	1322302	0.00858560696820464
chrIII	1322302	1422302	0.0411277816765553
chrIII	1422302	1522302	0.00476179852937531
chrIII	1522302	1622302	0.00340825077287538
chrIII	1622302	1722302	-0.0351373373522761
chrIII	1722302	1822302	-0.0103395569467503
chrIII	1822302	1922302	-0.0334329252602657
chrIII	1922302	2022302	-0.0170989935535478
chrIII	2022302	2122302	-0.0397162462369798
chrIII	2122302	2222302	-0.0258230811146973
chrIII	2222302	2322302	-0.0120209329459081
chrIII	2322302	2422302	-0.066674582007779
chrIII	2422302	2522302	-0.0493224730242639
chrIII	2522302	2622302	-0.037565868733062
chrIII	2622302	2722302	0.00085295453545678
chrIII	2722302	2822302	-0.0433584100398252
chrIII	2822302	2922302	-0.00753194567948393
chrIII	2922302	3022302	0.0287400920053818
chrIII	3022302	3122302	-0.0461040344656914
chrIII	3122302	3222302	-0.0137735470264936
chrIII	3222302	3322302	-0.0206296020116137
chrIII	3322302	3422302	-0.0711399970423386
chrIII	3422302	3522302	0.0130354395871789
chrIII	3522302	3622302	-0.0120945333903378
chrIII	3622302	3722302	-0.0630444520042126
chrIII	3722302	3822302	-0.0263858050761407
chrIII	3822302	3922302	-0.00059511686162114
chrIII	3922302	4022302	-0.0430729716940905
chrIII	4022302	4122302	-0.020027063797681
chrIII	4122302	4222302	0.0197963397901307
chrIII	4222302	4322302	0.000369461742520441
chrIII	4322302	4422302	-0.0305675421997666
chrIII	4422302	4522302	0.0267230769324603
chrIII	4522302	4622302	-0.0360504233836167
chrIII	4622302	4722302	-0.0541684475035059
chrIII	4722302	4822302	-0.0393921190453835
chrIII	4822302	4922302	-0.019802629324194
chrIII	4922302	5022302	-0.0362573282254982
chrIII	5022302	5122302	-0.0928793388765559
chrIII	5122302	5222302	-0.0439764250851977
chrIII	5222302	5322302	0.0120548710281447
chrIII	5322302	5422302	-0.0601552070032443
chrIII	5422302	5522302	0.0141385699205446
chrIII	5522302	5622302	-0.0355533641204039
chrIII	5622302	5722302	0.00329064517717204
chrIII	5722302	5822302	-0.00595144018778424
chrIII	5822302	5922302	-0.0141731681841226
chrIII	5922302	6022302	-0.00865579556051284
chrIII	6022302	6122302	-0.0481009546813293
chrIII	6122302	6222302	-0.00589894916087975
chrIII	6222302	6322302	-0.00264348132245333
chrIII	6322302	6422302	-0.0483044326098504
chrIII	6422302	6522302	-0.0196253169543789
chrIII	6522302	6622302	-0.0112867481163028
chrIII	6622302	6722302	-0.00330346095305087
chrIII	6722302	6822302	-0.00324565670977301
chrIII	6822302	6922302	0.0337437629159607
chrIII	6922302	7022302	0.029925167936025
chrIII	7022302	7122302	0.00286291782955276
chrIII	7122302	7222302	-0.00964721634308506
chrIII	7222302	7322302	0.0295396467759762
chrIII	7322302	7422302	-0.0158312987700766
chrIII	7422302	7522302	-0.00987892149137752
chrIII	7522302	7622302	-0.0371733894166144
chrIII	7622302	7722302	-0.0329538344326675
chrIII	7722302	7822302	-0.0479379744999878
chrIII	7822302	7922302	-0.0519404847574115
chrIII	7922302	8022302	-0.00780146683575865
chrIII	8022302	8122302	-0.0112482377297459
chrIII	8122302	8222302	-0.0103142055868121
chrIII	8222302	8322302	-0.0550513624412758
