chr	start	stop	geneId
chrI	4018	21877	ENSGACG00000004826
chrI	22397	26011	ENSGACG00000004822
chrI	27148	28110	ENSGACG00000004816
chrI	29724	39255	ENSGACG00000004811
chrI	39949	46203	ENSGACG00000004805
chrI	55086	56560	ENSGACG00000004800
chrI	59047	65090	ENSGACG00000004748
chrI	67293	68224	ENSGACG00000004745
chrI	68787	77943	ENSGACG00000004741
chrI	80231	87784	ENSGACG00000004731
chrI	85353	85439	ENSGACG00000022209
chrI	90110	90896	ENSGACG00000004728
chrI	91789	103593	ENSGACG00000004718
chrI	104874	112380	ENSGACG00000004711
chrI	115129	117331	ENSGACG00000004699
chrI	130258	140855	ENSGACG00000004682
chrI	144196	155186	ENSGACG00000004656
chrI	156545	157895	ENSGACG00000004650
chrI	158138	159809	ENSGACG00000004639
chrI	166082	167249	ENSGACG00000004636
chrI	168665	170973	ENSGACG00000004631
chrI	174860	176284	ENSGACG00000004628
chrI	180751	183803	ENSGACG00000004619
chrI	201591	204892	ENSGACG00000004612
chrI	215301	216942	ENSGACG00000004611
chrI	221491	222411	ENSGACG00000004608
chrI	225885	226814	ENSGACG00000004606
chrI	243049	244375	ENSGACG00000004603
chrI	260059	261383	ENSGACG00000004599
chrI	281754	283003	ENSGACG00000004589
chrI	286244	295417	ENSGACG00000004570
chrI	303935	310891	ENSGACG00000004539
chrI	311421	316435	ENSGACG00000004536
chrI	317104	318154	ENSGACG00000004535
chrI	320330	322968	ENSGACG00000004531
chrI	328479	331727	ENSGACG00000004524
chrI	333383	340088	ENSGACG00000004504
chrI	341660	355280	ENSGACG00000004499
chrI	360599	370814	ENSGACG00000004487
chrI	384682	389628	ENSGACG00000004479
chrI	398693	422500	ENSGACG00000004458
chrI	434885	462361	ENSGACG00000004438
chrI	465500	470623	ENSGACG00000004417
chrI	472034	474804	ENSGACG00000004413
chrI	494019	498077	ENSGACG00000004408
chrI	501092	503203	ENSGACG00000004405
chrI	517193	521292	ENSGACG00000004403
chrI	530173	537985	ENSGACG00000004395
chrI	687441	692663	ENSGACG00000004866
chrI	695304	696858	ENSGACG00000004875
chrI	698435	706214	ENSGACG00000004876
chrI	707509	710929	ENSGACG00000004890
chrI	711993	717603	ENSGACG00000004898
chrI	759611	765752	ENSGACG00000004907
chrI	768190	769462	ENSGACG00000004916
chrI	778275	784235	ENSGACG00000004919
chrI	835507	842787	ENSGACG00000004922
chrI	846012	847417	ENSGACG00000004927
chrI	864993	865217	ENSGACG00000004929
chrI	866290	879634	ENSGACG00000004934
chrI	885557	886553	ENSGACG00000004963
chrI	889314	922850	ENSGACG00000004964
chrI	925191	925370	ENSGACG00000004992
chrI	929976	935619	ENSGACG00000004996
chrI	938065	945199	ENSGACG00000005004
chrI	946763	952615	ENSGACG00000005026
chrI	953884	958049	ENSGACG00000005038
chrI	964693	975288	ENSGACG00000005047
chrI	985043	990444	ENSGACG00000005051
chrI	992509	1003829	ENSGACG00000005067
chrI	1011298	1027702	ENSGACG00000005083
chrI	1037631	1043133	ENSGACG00000005115
chrI	1043343	1045315	ENSGACG00000005145
chrI	1045987	1052634	ENSGACG00000005148
chrI	1053127	1064996	ENSGACG00000005161
chrI	1071313	1076412	ENSGACG00000005173
chrI	1079995	1084941	ENSGACG00000005183
chrI	1098362	1129075	ENSGACG00000005214
chrI	1131639	1150483	ENSGACG00000005228
chrI	1161118	1161946	ENSGACG00000005256
chrI	1174177	1177966	ENSGACG00000005257
chrI	1193238	1196604	ENSGACG00000005259
chrI	1215446	1224442	ENSGACG00000005271
chrI	1314863	1321295	ENSGACG00000005285
chrI	1323646	1324046	ENSGACG00000005299
chrI	1324564	1325550	ENSGACG00000005302
chrI	1327232	1331504	ENSGACG00000005321
chrI	1332807	1370124	ENSGACG00000005329
chrI	1373435	1375551	ENSGACG00000005337
chrI	1375655	1381512	ENSGACG00000005362
chrI	1382134	1385072	ENSGACG00000005366
chrI	1399929	1413625	ENSGACG00000005375
chrI	1415371	1416473	ENSGACG00000005381
chrI	1418653	1421479	ENSGACG00000005384
chrI	1422162	1427580	ENSGACG00000005396
chrI	1429982	1449609	ENSGACG00000005426
chrI	1454533	1457622	ENSGACG00000005430
chrI	1460990	1468119	ENSGACG00000005434
chrI	1492271	1504190	ENSGACG00000005438
chrI	1508804	1522485	ENSGACG00000005457
chrI	1525273	1533144	ENSGACG00000005469
chrI	1534250	1540933	ENSGACG00000005511
chrI	1549374	1578181	ENSGACG00000005523
chrI	1605139	1605217	ENSGACG00000022513
chrI	1647619	1674482	ENSGACG00000005540
chrI	2026743	2035976	ENSGACG00000005551
chrI	2041406	2049891	ENSGACG00000005559
chrI	2066453	2067147	ENSGACG00000005584
chrI	2075436	2145323	ENSGACG00000005585
chrI	2211639	2212553	ENSGACG00000005595
chrI	2232723	2234437	ENSGACG00000005598
chrI	2236281	2243452	ENSGACG00000005621
chrI	2243568	2246073	ENSGACG00000005634
chrI	2292794	2293714	ENSGACG00000005639
chrI	2316953	2330733	ENSGACG00000005645
chrI	2336876	2344430	ENSGACG00000005662
chrI	2348401	2354587	ENSGACG00000005680
chrI	2356615	2363674	ENSGACG00000005684
chrI	2366286	2369248	ENSGACG00000005715
chrI	2369608	2370451	ENSGACG00000005721
chrI	2372073	2376427	ENSGACG00000005725
chrI	2381130	2388895	ENSGACG00000005732
chrI	2393847	2394861	ENSGACG00000005744
chrI	2401100	2404981	ENSGACG00000005747
chrI	2406058	2407544	ENSGACG00000005762
chrI	2427478	2442638	ENSGACG00000005764
chrI	2445896	2451676	ENSGACG00000005766
chrI	2452347	2455012	ENSGACG00000005779
chrI	2469491	2472193	ENSGACG00000005793
chrI	2482848	2485757	ENSGACG00000005807
chrI	2486011	2489104	ENSGACG00000005815
chrI	2490634	2491682	ENSGACG00000005818
chrI	2494990	2499972	ENSGACG00000005820
chrI	2505568	2510772	ENSGACG00000005825
chrI	2512628	2515381	ENSGACG00000005834
chrI	2522989	2528436	ENSGACG00000005843
chrI	2556919	2566238	ENSGACG00000005869
chrI	2577861	2580006	ENSGACG00000005876
chrI	2591366	2609569	ENSGACG00000005880
chrI	2620541	2621974	ENSGACG00000005890
chrI	2630225	2637355	ENSGACG00000005892
chrI	2637475	2642963	ENSGACG00000005918
chrI	2642838	2648023	ENSGACG00000005929
chrI	2648524	2653058	ENSGACG00000005955
chrI	2653268	2655104	ENSGACG00000005962
chrI	2656942	2660766	ENSGACG00000005965
chrI	2661999	2662394	ENSGACG00000005984
chrI	2671022	2676544	ENSGACG00000005985
chrI	2679010	2684638	ENSGACG00000006013
chrI	2687927	2694556	ENSGACG00000006022
chrI	2699285	2701301	ENSGACG00000006034
chrI	2706342	2718018	ENSGACG00000006068
chrI	2718222	2726698	ENSGACG00000006079
chrI	2728908	2748804	ENSGACG00000006112
chrI	2752399	2756067	ENSGACG00000006128
chrI	2758411	2759277	ENSGACG00000006132
chrI	2762852	2764794	ENSGACG00000006136
chrI	2774511	2776521	ENSGACG00000006137
chrI	2782863	2789339	ENSGACG00000006140
chrI	2793872	2800519	ENSGACG00000006145
chrI	2800541	2804188	ENSGACG00000006148
chrI	2811324	2846162	ENSGACG00000006150
chrI	3117888	3128079	ENSGACG00000006157
chrI	3180143	3181058	ENSGACG00000006160
chrI	3184612	3185635	ENSGACG00000006164
chrI	3188876	3192831	ENSGACG00000006166
chrI	3195291	3197947	ENSGACG00000006174
chrI	3198285	3199353	ENSGACG00000006179
chrI	3216660	3236683	ENSGACG00000006182
chrI	3263204	3271795	ENSGACG00000006192
chrI	3279821	3294423	ENSGACG00000006201
chrI	3305232	3311305	ENSGACG00000006227
chrI	3365210	3376653	ENSGACG00000006236
chrI	3380094	3426912	ENSGACG00000006248
chrI	3435513	3448171	ENSGACG00000006254
chrI	3469327	3473952	ENSGACG00000006274
chrI	3476158	3480744	ENSGACG00000006282
chrI	3503893	3504429	ENSGACG00000006290
chrI	3509667	3512187	ENSGACG00000006291
chrI	3513821	3515012	ENSGACG00000006292
chrI	3520318	3527005	ENSGACG00000006296
chrI	3528373	3533644	ENSGACG00000006300
chrI	3537733	3541050	ENSGACG00000006316
chrI	3541759	3546952	ENSGACG00000006321
chrI	3562057	3566727	ENSGACG00000006331
chrI	3568008	3570068	ENSGACG00000006344
chrI	3572231	3589564	ENSGACG00000006348
chrI	3605365	3608848	ENSGACG00000006375
chrI	3610561	3617940	ENSGACG00000006407
chrI	3626852	3630358	ENSGACG00000006415
chrI	3635190	3637904	ENSGACG00000006419
chrI	3644180	3650262	ENSGACG00000006463
chrI	3657054	3659219	ENSGACG00000006467
chrI	3659839	3661249	ENSGACG00000006469
chrI	3666501	3673296	ENSGACG00000006472
chrI	3754655	3781550	ENSGACG00000006478
chrI	3785123	3800100	ENSGACG00000006486
chrI	3806915	3811392	ENSGACG00000006518
chrI	3813938	3819744	ENSGACG00000006546
chrI	3821749	3826701	ENSGACG00000006550
chrI	3828414	3828569	ENSGACG00000006557
chrI	3833593	3849287	ENSGACG00000006559
chrI	3871716	3888302	ENSGACG00000006573
chrI	3895544	3897157	ENSGACG00000006583
chrI	3902578	3917608	ENSGACG00000006586
chrI	3967407	3971309	ENSGACG00000006591
chrI	4019075	4022365	ENSGACG00000006593
chrI	4209105	4257267	ENSGACG00000006619
chrI	4318401	4326571	ENSGACG00000006625
chrI	4329185	4332274	ENSGACG00000006628
chrI	4416248	4427157	ENSGACG00000006635
chrI	4465353	4513717	ENSGACG00000006638
chrI	4524273	4525834	ENSGACG00000006660
chrI	4528092	4529703	ENSGACG00000006666
chrI	4532235	4535758	ENSGACG00000006675
chrI	4537836	4539718	ENSGACG00000006679
chrI	4543198	4545043	ENSGACG00000006696
chrI	4548088	4549656	ENSGACG00000006697
chrI	4565723	4572498	ENSGACG00000006702
chrI	4574723	4594147	ENSGACG00000006708
chrI	4595438	4598344	ENSGACG00000006784
chrI	4599664	4602871	ENSGACG00000006790
chrI	4603252	4604601	ENSGACG00000006808
chrI	4604892	4607501	ENSGACG00000006818
chrI	4609251	4618667	ENSGACG00000006839
chrI	4620855	4640402	ENSGACG00000006866
chrI	4646681	4656245	ENSGACG00000006869
chrI	4657167	4658940	ENSGACG00000006872
chrI	4659623	4675624	ENSGACG00000006874
chrI	4677845	4680064	ENSGACG00000006887
chrI	4701339	4703257	ENSGACG00000006890
chrI	4707723	4711601	ENSGACG00000006900
chrI	4717720	4730148	ENSGACG00000006903
chrI	4731972	4732874	ENSGACG00000006906
chrI	4737765	4755608	ENSGACG00000006908
chrI	4742324	4755548	ENSGACG00000006915
chrI	4780614	4780672	ENSGACG00000022573
chrI	4803477	4878723	ENSGACG00000006917
chrI	4906680	4916546	ENSGACG00000006936
chrI	4910919	4914494	ENSGACG00000006979
chrI	4923494	4942267	ENSGACG00000006981
chrI	4940597	4942267	ENSGACG00000006998
chrI	4943113	4946502	ENSGACG00000007005
chrI	4949909	4951489	ENSGACG00000007008
chrI	4952153	4963062	ENSGACG00000007009
chrI	4963293	4963389	ENSGACG00000021251
chrI	4963645	4966373	ENSGACG00000007016
chrI	4966974	4972930	ENSGACG00000007027
chrI	4975668	4979494	ENSGACG00000007046
chrI	4980704	4990213	ENSGACG00000007053
chrI	4992429	4997081	ENSGACG00000007060
chrI	5024840	5063796	ENSGACG00000007068
chrI	5067316	5069007	ENSGACG00000007071
chrI	5088837	5090703	ENSGACG00000007093
chrI	5098658	5105120	ENSGACG00000007095
chrI	5187684	5195141	ENSGACG00000007101
chrI	5197977	5239281	ENSGACG00000007117
chrI	5225060	5230623	ENSGACG00000007125
chrI	5247798	5250138	ENSGACG00000007140
chrI	5253270	5264564	ENSGACG00000007144
chrI	5274103	5280110	ENSGACG00000007161
chrI	5288250	5296351	ENSGACG00000007171
chrI	5299362	5306453	ENSGACG00000007177
chrI	5546784	5598068	ENSGACG00000007181
chrI	5617978	5620695	ENSGACG00000007226
chrI	5643757	5650143	ENSGACG00000007228
chrI	5667933	5673366	ENSGACG00000007230
chrI	5817068	5825891	ENSGACG00000007267
chrI	5838679	5840284	ENSGACG00000007272
chrI	5889679	5890071	ENSGACG00000007274
chrI	5947007	5969902	ENSGACG00000007276
chrI	5977958	6016739	ENSGACG00000007302
