	CHROM	BIN_START	BIN_END	N_VARIANTS	PI_all	PI_female	PI_male	MEAN_FST	SNP_COUNT_all	SNP_COUNT_female	SNP_COUNT_male	Dxy	pFemaleSpecific	pMaleSpecific	pSexSpecific	meanDiffA1	female_r2	male_r2
0	chrI	1	100000	6	2.325e-05	1.8666700000000002e-05	2.42857e-05	0.138631	6	4	6	1.7083335e-05	0.0	0.0	0.0	0.30208325	0.3916665066672027	0.8021163280424762
1	chrI	100001	200000	1	2.33333e-06	3.3333300000000003e-06	NA	0.0569106	1	1	0	1.66667e-06	0.0	0.0	0.0	0.166667	0.20000048000019202	NA
2	chrI	200001	300000	2	8.58333e-06	3.3333300000000003e-06	1.10714e-05	0.234429	2	1	2	8.75e-06	0.0	0.0	0.0	0.3541665	0.799997120006048	0.5222217777779999
3	chrI	400001	500000	1	4e-06	6e-06	2.5e-06	0.24767199999999998	1	1	1	5e-06	0.0	0.0	0.0	0.375	0.5625	1.2857142857142858
4	chrI	600001	700000	2	7.333330000000001e-06	1.06667e-05	5.35714e-06	0.10907599999999999	2	2	1	7.9166625e-06	0.0	0.0	0.0	0.1875	0.2539059394535967	0.007407525926400003
5	chrI	700001	800000	4	1.45833e-05	1.8e-05	8.21429e-06	0.183614	4	4	2	1.58333325e-05	0.25	0.0	0.25	0.30208325	0.5781241375017363	0.23015841269914283
6	chrI	800001	900000	2	7.333330000000001e-06	3.3333300000000003e-06	6.78571e-06	0.369374	2	1	2	9.9999975e-06	0.0	0.0	0.0	0.4791665	3.612490820018378	2.4603153015878094
7	chrI	900001	1000000	1	4.58333e-06	3.3333300000000003e-06	5.71429e-06	0.177829	1	1	1	5e-06	0.0	0.0	0.0	0.333333	0.799997120006048	0.44444355555599996
8	chrI	1000001	1100000	1	2.33333e-06	5.333330000000001e-06	NA	0.304348	1	1	0	3.33333e-06	0.0	0.0	0.0	0.333333	0.499999250000375	NA
9	chrI	1100001	1200000	1	2.33333e-06	5.333330000000001e-06	NA	0.304348	1	1	0	3.33333e-06	0.0	0.0	0.0	0.333333	0.499999250000375	NA
10	chrI	1200001	1300000	1	4e-06	NA	5.35714e-06	0.291028	1	0	1	3.75e-06	0.0	0.0	0.0	0.375	NA	0.6
11	chrI	1300001	1400000	1	4.58333e-06	6e-06	2.5e-06	0.24767199999999998	1	1	1	5e-06	0.0	0.0	0.0	0.375	0.5625	1.2857142857142858
12	chrI	1400001	1500000	2	5.583330000000001e-06	5.333330000000001e-06	5.35714e-06	0.297688	2	1	1	7.08333e-06	0.0	0.0	0.0	0.3541665	0.499999250000375	0.6
13	chrI	1700001	1800000	8	3.2e-05	2.66667e-05	2.75e-05	0.277248	8	5	6	3.58333325e-05	0.25	0.125	0.375	0.359375	0.6740619497825733	0.6784831167550031
14	chrI	1800001	1900000	4	1.2916700000000001e-05	1.73333e-05	6.78571e-06	0.275987	4	4	2	1.74999925e-05	0.0	0.0	0.0	0.364583	1.1656222100051838	2.3121670052918097
15	chrI	1900001	2000000	7	2.35e-05	2.33333e-05	3.10714e-05	-0.10457000000000001	7	7	7	2.4166677500000002e-05	0.0	0.0	0.0	0.10119014285714285	0.0874993742875854	0.05820071957729524
16	chrI	2200001	2300000	1	4e-06	6e-06	2.5e-06	0.24767199999999998	1	1	1	5e-06	0.0	0.0	0.0	0.375	0.5625	1.2857142857142858
17	chrI	2300001	2400000	1	5e-06	3.3333300000000003e-06	5.71429e-06	0.177829	1	1	1	5e-06	0.0	0.0	0.0	0.333333	0.799997120006048	0.44444355555599996
18	chrI	2400001	2500000	1	5.333330000000001e-06	6e-06	5.71429e-06	0.0	1	1	1	5e-06	0.0	0.0	0.0	0.0	0.0	0.0
19	chrI	2600001	2700000	1	4.58333e-06	6e-06	2.5e-06	0.24767199999999998	1	1	1	5e-06	0.0	0.0	0.0	0.375	0.5625	1.2857142857142858
20	chrI	2700001	2800000	2	7.25e-06	6e-06	5.35714e-06	0.352455	2	1	1	8.75e-06	0.5	0.0	0.5	0.4375	1.0	0.6
21	chrI	2800001	2900000	2	1.05e-05	1.06667e-05	1.07143e-05	-0.0861957	2	2	2	9.166665e-06	0.0	0.0	0.0	0.04166700000000001	0.007812628906818364	0.007407525926400003
22	chrI	3200001	3300000	2	9.833330000000002e-06	6.666669999999999e-06	8.21429e-06	0.397944	2	2	2	1.2499997500000002e-05	0.0	0.0	0.0	0.520833	2.206243970012213	2.515870412699143
23	chrI	3300001	3400000	5	2.33333e-05	1.8666700000000002e-05	1.57143e-05	0.28784099999999996	5	4	5	2.6249995000000004e-05	0.0	0.0	0.0	0.38333320000000004	1.946870410009189	2.1206331936512
24	chrI	3400001	3500000	3	1.58333e-05	1.4000000000000001e-05	6.78571e-06	0.45348299999999997	3	3	2	2.04166675e-05	0.3333333333333333	0.0	0.3333333333333333	0.5972223333333333	2.367184808603088	1.8042351957679998
25	chrI	3500001	3600000	5	1.94167e-05	1.73333e-05	1.7142899999999998e-05	0.26433	5	3	5	2.2500002499999998e-05	0.0	0.0	0.0	0.3833334	0.8151049283861843	1.2374609777779808
