gene	species	dN	dS	dNdS
ENSGACG00000002558_ENSGACT00000013102	ref_chrXII	0.0000	0.0090	0.0010
ENSGACG00000002558_ENSGACT00000013102	sin	0.0031	0.1310	0.0240
ENSGACG00000002558_ENSGACT00000013102	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002558_ENSGACT00000013102	tym	0.0032	0.1017	0.0311
ENSGACG00000002558_ENSGACT00000013102	X	0.0031	0.0822	0.0382
ENSGACG00000002558_ENSGACT00000013102	Xprivate	0.0000	0.0000	0.0988
ENSGACG00000002558_ENSGACT00000013102	Y	0.0031	0.0822	0.0382
ENSGACG00000002558_ENSGACT00000013102	Yprivate	0.0000	0.0000	99.0000
ENSGACG00000002569_ENSGACT00000013036	ref_chrXII	0.0020	0.0095	0.2064
ENSGACG00000002569_ENSGACT00000013036	sin	0.0101	0.1961	0.0517
ENSGACG00000002569_ENSGACT00000013036	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002569_ENSGACT00000013036	tym	0.0101	0.2205	0.0460
ENSGACG00000002569_ENSGACT00000013036	X	0.0091	0.1853	0.0492
ENSGACG00000002569_ENSGACT00000013036	Xprivate	0.0000	0.0000	0.1098
ENSGACG00000002569_ENSGACT00000013036	Y	0.0081	0.1748	0.0464
ENSGACG00000002569_ENSGACT00000013036	Yprivate	0.0000	0.0000	0.1153
ENSGACG00000002569_ENSGACT00000013048	ref_chrXII	0.0012	0.0000	99.0000
ENSGACG00000002569_ENSGACT00000013048	sin	0.0091	0.1403	0.0652
ENSGACG00000002569_ENSGACT00000013048	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002569_ENSGACT00000013048	tym	0.0105	0.1526	0.0686
ENSGACG00000002569_ENSGACT00000013048	X	0.0079	0.1364	0.0576
ENSGACG00000002569_ENSGACT00000013048	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000002569_ENSGACT00000013048	Y	0.0065	0.1350	0.0485
ENSGACG00000002569_ENSGACT00000013048	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002576_ENSGACT00000013036	ref_chrXII	0.0000	0.0000	0.0010
ENSGACG00000002576_ENSGACT00000013036	sin	0.0001	0.1270	0.0010
ENSGACG00000002576_ENSGACT00000013036	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002576_ENSGACT00000013036	tym	0.0001	0.0967	0.0010
ENSGACG00000002576_ENSGACT00000013036	X	0.0001	0.0967	0.0010
ENSGACG00000002576_ENSGACT00000013036	Xprivate	0.0000	0.0000	0.0010
ENSGACG00000002576_ENSGACT00000013036	Y	0.0001	0.0967	0.0010
ENSGACG00000002576_ENSGACT00000013036	Yprivate	0.0000	0.0000	0.0010
ENSGACG00000002604_ENSGACT00000013001	ref_chrXII	0.0000	0.0151	0.0010
ENSGACG00000002604_ENSGACT00000013001	sin	0.0043	0.2051	0.0210
ENSGACG00000002604_ENSGACT00000013001	sinprivate	0.0000	0.0000	0.0010
ENSGACG00000002604_ENSGACT00000013001	tym	0.0043	0.1784	0.0242
